bID,name,address,cord,numOfReview,rating,zipcode,cuisine
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,"46 Bowery St, New York, NY 10013","40.7156608, -73.9967012",6444,4,10013,chinese
0dDCDQz7DrKkSvu9h2hcQw,Chow House,"181 Bleecker St, New York, NY 10012","40.72915, -74.00072",458,4.5,10012,chinese
0DFZamGmHMfYquvLKA5Yxg,Tandoori Hut,"2616 2nd Ave, Seattle, WA 98121","47.6163484, -122.349293",308,3.5,98121,indian
0dIF4OMuWzq1ltvBVb-WeQ,Enoteca Vespaio,"1610 S Congress Ave, Austin, TX 78704","30.24723, -97.75084",838,4,78704,italian
0dIF4OMuWzq1ltvBVb-WeQ,Enoteca Vespaio,"1610 S Congress Ave, Austin, TX 78704","30.24723, -97.75084",838,4,78704,american
0Ehcn48vfv612CXLmd8mFg,Istanbul Market and Cafe,"2324 Elmhurst Rd, Mount Prospect, IL 60056","42.0234589, -87.9406449",77,4,60056,indian
0eMo-MeawM-tmbwpzv3rDg,Carnitas Uruapan,"1725 W 18th St, Chicago, IL 60608","41.857612801225, -87.669703625051",454,4.5,60608,american
0ePn6TQSJQky4ueKeGQvpQ,SUGARFISH by sushi nozawa,"33 E 20th St, New York, NY 10003","40.73901, -73.98882",892,4,10003,japanese
0EVWp_KyFdWC9VxJ7Sku1Q,COTE Miami,"3900 NE 2nd Ave, Miami Design District, Miami, FL 33137","25.813, -80.19154",143,4.5,33137,japanese
0F3LEU42pE0c56o0EpXW-Q,Ruth's Chris Steak House,"107 W 6th St, Austin, TX 78701","30.2680568, -97.7434864",373,4,78701,italian
0F80pfvLYzKdHhSakhbYAg,Min's Noodle House 渔家重庆小面,"3235 S Halsted St, Chicago, IL 60608","41.8353899, -87.64586",301,4,60608,chinese
0F80pfvLYzKdHhSakhbYAg,Min's Noodle House 渔家重庆小面,"3235 S Halsted St, Chicago, IL 60608","41.8353899, -87.64586",301,4,60608,japanese
0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,"1769 W Sunnyside Ave, Chicago, IL 60640","41.963286, -87.673801",1590,4,60640,italian
0gBA7yFpIK1FiqyAZMaacg,Six Pack Foods,"5000 University Way NE, Ste A, Seattle, WA 98105","47.665036, -122.312812",49,4,98105,chinese
0giq9_AOkWFMgvzWKllePw,Ghareeb Nawaz Express,"807 W Roosevelt Rd, Chicago, IL 60608","41.8669, -87.64733",293,3.5,60608,indian
0GMUVpxMjRrKk7vJO3EC8w,King Noodle,"615 S King St, Seattle, WA 98104","47.5982, -122.32551",605,4,98104,chinese
0GMUVpxMjRrKk7vJO3EC8w,King Noodle,"615 S King St, Seattle, WA 98104","47.5982, -122.32551",605,4,98104,japanese
0GtoPh_XkQXV7U4QQMlSKw,Golden Star Chinese & American Restaurant,"3950 Wheaton Way, Bremerton, WA 98310","47.60066, -122.62864",134,4,98310,chinese
0gudM-CdJp12Ky0nQBnzeg,La Strega Cucina Italiana,"17864 NW 2nd St, Pembroke Pines, FL 33029","26.0084751, -80.3848053",339,4.5,33029,italian
0HA3GJKO_ZfjL8gm8CSnxA,Tian Tian Noodles,"16421 Cleveland St, Ste E, Redmond, WA 98052","47.672640373468916, -122.1210298",111,4,98052,chinese
0hfDRVaGSydijN5du1HCzg,Bar Siena,"832 W Randolph St, Chicago, IL 60607","41.88463232013353, -87.64877644025465",1797,4,60607,italian
0hfDRVaGSydijN5du1HCzg,Bar Siena,"832 W Randolph St, Chicago, IL 60607","41.88463232013353, -87.64877644025465",1797,4,60607,american
0HGzdQ2HjA95IFQPQXb1vg,Stoneburner,"5214 Ballard Ave NW, Seattle, WA 98107","47.6662974316062, -122.382751900253",681,4,98107,italian
0HGzdQ2HjA95IFQPQXb1vg,Stoneburner,"5214 Ballard Ave NW, Seattle, WA 98107","47.6662974316062, -122.382751900253",681,4,98107,american
0hRn-M0DwGxHub5QxwAEWA,Lao Sze Chuan House,"1331 Ogden Ave, Downers Grove, IL 60515","41.80783, -88.0191",253,3.5,60515,chinese
0ig-2KCPxnJDzbL4_5xSUw,Kone Sushi,"247 SE 1st St, Miami, FL 33131","25.7737314, -80.1892193",226,3.5,33131,japanese
0ihitoDvjGpF0bEvwctteA,Yeung Ming Chinese Restaurant,"26655 S Dixie Hwy, Homestead, FL 33032","25.51877, -80.42652",43,4.5,33032,chinese
0iNaZ5M5rB4So7OgeyfGKA,Malama Pono Restaurant,"13355 Ventura Blvd, Los Angeles, CA 91423","34.14703975140997, -118.4243171",297,5,91423,italian
0IwdwNnbro5RLLIlaxyfpQ,The Wilson,"132 W 27th St, New York, NY 10001","40.74587, -73.99265",220,4.5,10001,american
0IYXh7l_VppKw5y97FehoA,Kasama,"1001 N Winchester Ave, Chicago, IL 60622","41.899701, -87.675589",119,4.5,60622,american
0jdYhWHCMsrWxxVoylfyBw,Campagnola,"815 Chicago Ave, Evanston, IL 60202","42.0327399, -87.6786599",250,4.5,60202,italian
0jOt0ODWCp8fJzzOM4PgqA,Little Fatty,"3809 - 3813 Grandview Blvd, Los Angeles, CA 90066","34.00441, -118.43106",798,4,90066,chinese
0JQx8OsvTYyRqxz8ftUaRA,The Spotted Gallo,"8758 W Flagler St, Miami, FL 33174","25.7689815008784, -80.3380178165693",121,4.5,33174,american
0JyCFdMTvuj54i-RUuV5XA,Matsumoto,"8385 Beverly Blvd, Los Angeles, CA 90048","34.0761849, -118.372906",142,4.5,90048,japanese
0KJwtZUbEzD6-AKy63tiOQ,Ca Del Sole,"4100 Cahuenga Blvd, Toluca Lake, CA 91602","34.14405, -118.36108",1014,4.5,91602,italian
0KJwtZUbEzD6-AKy63tiOQ,Ca Del Sole,"4100 Cahuenga Blvd, Toluca Lake, CA 91602","34.14405, -118.36108",1014,4.5,91602,american
0l53mIuJrjeEW-nIIeT2iA,Thattu,"111 N Aberdeen St, Chicago, IL 60607","41.8832451, -87.654196",40,4.5,60607,indian
0lbMnxIqYSeiXacea56DTg,Bombay Wraps,"330 E Ohio St, Chicago, IL 60611","41.8927337, -87.619067",333,4,60611,indian
0lgGW93HYeVqrTTx9d3gUA,Chi'Lantro,"823 Congress Ave, Austin, TX 78701","30.27007, -97.74187",718,4,78701,chinese
0lgGW93HYeVqrTTx9d3gUA,Chi'Lantro,"823 Congress Ave, Austin, TX 78701","30.27007, -97.74187",718,4,78701,japanese
0lJO5_HQUD-VmmsZkDxd8Q,Divino Ceviche,"2629 NW 79th Ave, Doral, FL 33122","25.79821, -80.32463",718,4.5,33122,chinese
0lpHYqjWvNZ1Z66Re3KNoQ,Contigo,"2027 Anchor Ln, Austin, TX 78723","30.28804, -97.70335",835,4,78723,italian
